left,c0,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19
afl,0.6851078,0.59888554,0.6876286,0.670207,0.7112957,0.5911294,0.76830965,0.7127135,0.87191606,0.7016398,0.67425954,0.7052616,0.7168407,0.7325381,0.737512,0.6689411,0.7310059,0.7759712,0.67845285,0.65416574
agb,0.87710434,0.8828955,0.7482857,0.89907056,0.86178064,0.61216295,0.8848175,0.7684358,0.8575837,0.74401593,0.8487983,0.8859348,0.87412333,0.90587205,0.71759135,0.88420177,0.88406324,0.83579785,0.82523537,0.79095626
agl,0.7113104,0.7532985,0.6225882,0.8185975,0.77944064,0.79547375,0.89084613,0.72526294,0.7203203,0.92840654,0.6397214,0.80708504,0.6983848,0.656021,0.673592,0.6232238,0.7584545,0.6845329,0.68236613,0.7824931
ahg,0.7204685,0.7756245,0.73578715,0.79665816,0.79666346,0.7420542,0.70485467,0.8118322,0.6884855,0.6764523,0.78859234,0.764658,0.7247042,0.7382972,0.7781364,0.7788893,0.800769,0.7511609,0.74827904,0.7427609
ahr,0.7765161,0.739105,0.8107474,0.80613923,0.68862283,0.8044373,0.76859134,0.70315003,0.8373338,0.87292826,0.7195977,0.80043787,0.8041605,0.8425981,0.80708826,0.81845427,0.83322704,0.36341846,0.6995927,0.8422314
aik,0.7338779,0.79035944,0.69722617,0.7409742,0.76492286,0.8037037,0.5747453,0.8034847,0.6911395,0.60075456,0.8561902,0.7722099,0.68030506,0.6261199,0.69578767,0.71810526,0.69505435,0.6621996,0.7951615,0.5780571
aiv,0.75303435,0.81055474,0.7343563,0.80961293,0.79082555,0.7708931,0.7343849,0.5623796,0.7971234,0.7091937,0.8044165,0.8304292,0.69633055,0.77224445,0.7233371,0.7209734,0.75917923,0.8079893,0.76842767,0.6488681
ajf,0.62339234,0.86335707,0.9410169,0.79404974,0.56769437,0.7851809,0.74560905,0.6562868,0.8504932,0.75565314,0.76375324,0.922106,0.930863,0.6454583,0.8895735,0.9344215,0.6249469,0.88772035,0.5641526,0.91327935
ajk,0.7279497,0.6994446,0.8251263,0.64822257,0.8525892,0.8538437,0.8469202,0.84320813,0.7355728,0.86285824,0.83225155,0.3476732,0.8698106,0.8336494,0.80345833,0.8838551,0.7586749,0.7701303,0.77471507,0.7846688
aka,0.75693035,0.78310364,0.83804744,0.80659425,0.72035974,0.69833416,0.605509,0.7464818,0.81471914,0.82048833,0.8192632,0.79737335,0.6937143,0.77191186,0.780394,0.79537785,0.7344395,0.7803043,0.81953347,0.79689574
akg,0.82923573,0.77435964,0.81149197,0.801935,0.81707084,0.82191855,0.81845623,0.7874853,0.5217232,0.6200184,0.82652974,0.8642421,0.9385271,0.84916496,0.8129778,0.85115033,0.84217393,0.7043061,0.8879589,0.6647134
alc,0.5562422,0.8376549,0.60664713,0.7940499,0.8508056,0.80237377,0.8611183,0.8631323,0.73704344,0.8060132,0.8326247,0.8086039,0.7733134,0.8026966,0.82215226,0.5430524,0.78910714,0.8146471,0.8494966,0.7105127
ali,0.6706182,0.826278,0.82919735,0.7831929,0.8467239,0.8335787,0.7921395,0.808895,0.6272162,0.78222644,0.6581936,0.84410083,0.754833,0.7772465,0.7706181,0.7665759,0.8232584,0.7312404,0.81009686,0.76060575
alt,0.7872021,0.85602057,0.86346054,0.8393133,0.8900027,0.82966787,0.6958212,0.85857236,0.67779434,0.86884946,0.7995664,0.89568824,0.8548603,0.71419287,0.85407877,0.8270968,0.869823,0.80263436,0.7242555,0.7902129
alx,0.7636076,0.7363528,0.81540686,0.64199066,0.7903667,0.68741506,0.69412,0.76539475,0.8184076,0.74699414,0.8003254,0.6694273,0.8136118,0.80533385,0.78509647,0.79903495,0.7478741,0.8337111,0.8199328,0.6426589
aly,0.53282577,0.58558285,0.81985104,0.8442206,0.83299226,0.7821115,0.89720064,0.777417,0.6582746,0.86211264,0.870607,0.8106485,0.88977605,0.83446443,0.8292104,0.8239829,0.81643975,0.86940026,0.84234047,0.8085472
ama,0.8456882,0.25626153,0.94075996,0.53304046,0.7979377,0.94681895,0.8495282,0.7320781,0.8778449,0.4851546,0.7177988,0.94650626,0.63370216,0.9064503,0.381005,0.59963465,0.59588677,0.86799693,0.6747202,0.8612516
amb,0.73872685,0.69572735,0.780725,0.80242,0.72312385,0.8252684,0.80127287,0.7464223,0.48279032,0.74525297,0.7361788,0.78441274,0.6173872,0.7431912,0.5793592,0.7597426,0.7167249,0.8380981,0.78620493,0.7090153
amd,0.8326182,0.7770943,0.8043814,0.8452293,0.84488714,0.84065974,0.856125,0.8407255,0.68461275,0.7894607,0.839351,0.64660454,0.80656844,0.76655245,0.7882905,0.8502334,0.81637275,0.85732734,0.5730728,0.71603906
amg,0.73296916,0.7564532,0.8467399,0.88122183,0.8400674,0.85756916,0.6364838,0.9005536,0.7442374,0.8302525,0.8659133,0.83367527,0.86482376,0.7663637,0.81260544,0.82959425,0.7064631,0.5056634,0.81969076,0.79702914
amh,0.63354075,0.6775323,0.7613964,0.7805688,0.5905452,0.618075,0.554268,0.5593389,0.64162755,0.6190683,0.5797562,0.60631806,0.5937482,0.57415646,0.59128565,0.67383885,0.54826874,0.5731913,0.6552467,0.5866123
amn,0.72829336,0.5444764,0.8838464,0.8473694,0.83021677,0.83047247,0.8045389,0.76769125,0.8454358,0.80650187,0.8434372,0.8106973,0.83002543,0.6869374,0.8194189,0.8806746,0.555721,0.8534515,0.8713855,0.77379405
amq,0.76123583,0.65974176,0.7776407,0.76220936,0.7401421,0.75718766,0.7360719,0.7396226,0.7560301,0.74150586,0.7919426,0.7667906,0.76333165,0.77612174,0.6875052,0.7408526,0.72302926,0.77270764,0.7803643,0.73640746
aop,0.7943362,0.77736205,0.81150556,0.6875942,0.9310536,0.8834064,0.9314021,0.93959415,0.68929625,0.7372875,0.87678826,0.86219335,0.24858214,0.7151339,0.94336,0.8452253,0.8793572,0.900476,0.599618,0.84642214
aoq,0.84552926,0.8994359,0.91314566,0.7489658,0.7030612,0.88938236,0.9076011,0.6228504,0.6838176,0.8866552,0.8117281,0.8880331,0.7727219,0.85163295,0.80744135,0.80512136,0.7761265,0.6500263,0.5815039,0.6389869
aoy,0.8016794,0.92702,0.8638682,0.87319237,0.725814,0.8319245,0.885827,0.7855642,0.8159032,0.8641454,0.9237162,0.78461444,0.71590286,0.9123543,0.78357846,0.8459828,0.72693974,0.5746445,0.7664946,0.7057926
app,0.76659495,0.73594403,0.7584367,0.7468866,0.7121265,0.8358798,0.7294197,0.7544524,0.7375869,0.696316,0.7594064,0.6529747,0.7615724,0.81453586,0.783485,0.76509726,0.7897643,0.7102611,0.62602186,0.6192609
apx,0.8430407,0.7284007,0.69697595,0.8739499,0.7245771,0.73469,0.7481849,0.69124293,0.79933894,0.81396353,0.84172666,0.8218507,0.8443793,0.8301799,0.8667058,0.77152187,0.7605153,0.84446436,0.8318482,0.82695657
aqd,0.7428291,0.6654883,0.7672763,0.7663583,0.54846346,0.88248575,0.8568322,0.88461715,0.7002548,0.87308997,0.95115423,0.92998827,0.848039,0.9439889,0.8593617,0.93240154,0.7853658,0.75466573,0.78291106,0.84692115
aqt,0.6174119,0.5873854,0.654262,0.56096745,0.7723808,0.8197396,0.6835816,0.6838522,0.82815623,0.54948515,0.6849879,0.595661,0.79704136,0.61422825,0.71876884,0.71079135,0.6979355,0.49295813,0.7387831,0.76001513
ara,0.76259965,0.62320143,0.70531446,0.8539729,0.82451105,0.75505877,0.8592887,0.70462346,0.7981254,0.830641,0.7716739,0.930774,0.9172553,0.843293,0.50342274,0.4971039,0.84488946,0.72026336,0.93579924,0.54016376
arq,0.631169,0.7092959,0.6842705,0.6285615,0.61978465,0.7271838,0.667662,0.66454756,0.667078,0.64458627,0.64385736,0.60341626,0.69253767,0.65461445,0.74125016,0.68444717,0.62837297,0.6583111,0.67758083,0.6128044
aru,0.81325096,0.6733115,0.87020713,0.72790045,0.73526925,0.6029519,0.8480523,0.74789435,0.7783028,0.8752529,0.8073477,0.8548928,0.87142044,0.6866108,0.77002394,0.846619,0.42413828,0.8641113,0.8504579,0.7431735
asf,0.6947788,0.7735343,0.89559734,0.8786788,0.91202444,0.73937005,0.8948945,0.6520511,0.69058216,0.87965983,0.81686544,0.82239586,0.8153912,0.85090405,0.5833895,0.7525512,0.85766935,0.84110236,0.8952341,0.4841069
ass,0.9482361,0.8614335,0.8458541,0.6925605,0.8785845,0.8774628,0.6741413,0.7920236,0.7274833,0.8811303,0.6832188,0.7001048,0.82484007,0.8468936,0.66096956,0.8715857,0.7849329,0.9143375,0.88262516,0.84183574
ate,0.7997602,0.70162714,0.7596071,0.5297609,0.7998089,0.73879886,0.5545591,0.5888423,0.5667757,0.7981669,0.54662454,0.59637856,0.6720435,0.6416005,0.6676451,0.70310026,0.761398,0.65198773,0.6828768,0.6210098
atf,0.8101394,0.77374554,0.82214475,0.8309832,0.8526175,0.86188376,0.83042145,0.6582092,0.83199143,0.8310914,0.8253667,0.8445118,0.76217586,0.7866678,0.55892175,0.5055325,0.84991705,0.841846,0.8875086,0.8204773
atj,0.8617935,0.9113987,0.9217448,0.8763695,0.788728,0.9233442,0.8976368,0.681821,0.921926,0.8773264,0.73394525,0.89677703,0.90759367,0.9112811,0.87456554,0.84391123,0.91219133,0.91484076,0.8908372,0.8591594
atv,0.75841004,0.67260855,0.84011877,0.74749804,0.9549919,0.7249344,0.89100003,0.6952897,0.69370365,0.78684795,0.76512617,0.7959213,0.7780305,0.7488133,0.6723924,0.61550206,0.68554723,0.8685273,0.7671868,0.7575637
auc,0.8072846,0.7012464,0.8032994,0.8358604,0.7949045,0.8125252,0.8311733,0.77141243,0.7965164,0.80995584,0.83680695,0.80102485,0.78373563,0.68482035,0.83537966,0.80813164,0.81755215,0.83318126,0.75013745,0.8259789
aul,0.8833069,0.83445245,0.74931955,0.87760526,0.83927006,0.8326397,0.9022794,0.8119319,0.86339235,0.8881033,0.3854035,0.81237775,0.89272416,0.8364805,0.69262534,0.8830303,0.8806724,0.8497863,0.6907778,0.63610965
avp,0.77254975,0.7137034,0.7803688,0.58686256,0.73554784,0.649787,0.8026817,0.6989786,0.86744314,0.8398423,0.5359571,0.72508574,0.67956746,0.6518385,0.69417757,0.7152327,0.85017407,0.75074905,0.8148475,0.68542063
awk,0.8824966,0.7423654,0.8502475,0.7504497,0.79457664,0.6688837,0.76316404,0.71631455,0.94512254,0.7725961,0.72885394,0.6852459,0.8149363,0.8225512,0.7961593,0.88007,0.7796004,0.85586524,0.82160836,0.6877969
awp,0.71597654,0.92428875,0.8985572,0.9364177,0.7342473,0.82616574,0.5881349,0.8686841,0.7922019,0.78906834,0.94894177,0.8487271,0.62161547,0.77461135,0.9244267,0.9296577,0.7355624,0.9526659,0.7623118,0.9331887
awu,0.51634765,0.6256883,0.5348334,0.80644155,0.5896046,0.56022465,0.40329617,0.74677086,0.46902418,0.527927,0.47740304,0.56400585,0.449401,0.7917974,0.57460356,0.43481812,0.43224415,0.5493044,0.64111775,0.6147081
axn,0.80369765,0.7684971,0.73832273,0.7380773,0.7887933,0.60186565,0.69426835,0.6721406,0.7072573,0.7249945,0.73262644,0.77028906,0.54558295,0.5591461,0.6323633,0.6272975,0.6921539,0.64754194,0.68848115,0.7201117
axo,0.8383335,0.7348124,0.74920195,0.77893484,0.7891436,0.8838867,0.7433338,0.83644444,0.72731876,0.7885897,0.8054515,0.86680734,0.7027687,0.8593091,0.87312484,0.77029806,0.797576,0.6734798,0.87027633,0.8514004
axp,0.842845,0.8588178,0.8132628,0.7577601,0.805673,0.8488725,0.6663852,0.7156989,0.84962827,0.8105935,0.6595798,0.6891835,0.8233509,0.6973378,0.80454975,0.7870443,0.58805394,0.75538594,0.79969084,0.8191444
ayc,0.8220496,0.6173378,0.7583569,0.58299875,0.6477522,0.5835703,0.57061505,0.762266,0.6027282,0.7011267,0.7664904,0.74569744,0.57860625,0.6403286,0.75450534,0.7791971,0.7080511,0.6953975,0.7959806,0.5691261
ayg,0.8421346,0.6563346,0.8013545,0.86186934,0.8061448,0.8284441,0.8439617,0.6932783,0.7465598,0.7747961,0.69678134,0.8265676,0.6264318,0.82867646,0.8707098,0.80045927,0.7941689,0.7976804,0.8794112,0.671606
azb,0.84412384,0.85431945,0.82736814,0.88804793,0.64074636,0.8691393,0.9484175,0.84406394,0.8563882,0.74660456,0.8468079,0.9272865,0.9055332,0.88476104,0.85593307,0.80803317,0.90851986,0.61972517,0.8354038,0.78122544
azo,0.86985713,0.8290599,0.85797846,0.80318725,0.8482026,0.8786817,0.7819911,0.86216617,0.8257152,0.49003518,0.8684543,0.6983038,0.8004481,0.81277406,0.8520938,0.85800755,0.71382684,0.8129121,0.73440826,0.81018215
ban,0.7635708,0.80481493,0.7000518,0.6938719,0.6955372,0.7189961,0.70071274,0.76223135,0.69804704,0.7978355,0.70128787,0.77164745,0.72428924,0.7006073,0.7263382,0.72916895,0.71454895,0.6835937,0.7132176,0.7753263
bao,0.777991,0.7565383,0.65376174,0.6890205,0.76247156,0.75498575,0.90075994,0.67569566,0.6620923,0.8805268,0.7508934,0.71693844,0.9346419,0.77243364,0.6731621,0.74276435,0.9167905,0.8422115,0.6767884,0.8759437
bar,0.32005942,0.6273842,0.4508771,0.50823605,0.4962935,0.70956004,0.59834707,0.45525303,0.38596046,0.40731677,0.3381563,0.4873584,0.43578592,0.38089782,0.6108307,0.4179369,0.37072003,0.34789026,0.34033272,0.52524143
bas,0.73829544,0.7899661,0.6327627,0.82655174,0.8700516,0.836386,0.80627644,0.6712428,0.60726494,0.87350893,0.81825507,0.8549873,0.8114764,0.8704128,0.8244617,0.84394145,0.8511412,0.90796554,0.5178319,0.62065136
bbn,0.84616375,0.8636958,0.8109304,0.8883033,0.8832227,0.81960064,0.85735106,0.8399189,0.89306444,0.6659955,0.8618779,0.84432286,0.8453928,0.89648205,0.83567876,0.7027923,0.788817,0.8550437,0.87678176,0.8757537
bbt,0.7380779,0.6388687,0.61681616,0.637186,0.8877698,0.63434166,0.7719912,0.69620323,0.6470725,0.7975539,0.83254725,0.72421867,0.96657884,0.70563614,0.67251354,0.59341395,0.70527124,0.59938514,0.7794659,0.75025076
bcf,0.8257186,0.70401704,0.7919925,0.85332906,0.7727528,0.8027805,0.887064,0.8008926,0.8845294,0.8899677,0.8825091,0.75298643,0.8843863,0.8895402,0.8406705,0.8419808,0.8044844,0.91256315,0.8785872,0.692811
bcg,0.75377,0.75871,0.84524107,0.71628076,0.69353193,0.80930233,0.84352434,0.824124,0.7406242,0.86553943,0.7298818,0.72984433,0.78298557,0.80615634,0.6875356,0.6137445,0.79670817,0.6247454,0.78742945,0.780953
bci,0.751256,0.9262675,0.82971555,0.8011062,0.65796494,0.7183764,0.88462204,0.8188134,0.72642505,0.49950492,0.8259481,0.93419087,0.6354862,0.87359387,0.63336617,0.6807942,0.9271903,0.89022255,0.8076539,0.8537806
bcj,0.6939082,0.828037,0.8151523,0.8694446,0.767382,0.778081,0.87542367,0.6905755,0.79305255,0.73120826,0.77702,0.8309392,0.872053,0.7118634,0.86180687,0.8580021,0.8932637,0.8782134,0.7595655,0.7705909
bcn,0.8564055,0.77220297,0.89853394,0.8926795,0.68173283,0.8860986,0.60985595,0.8029041,0.4023936,0.5200204,0.5018121,0.7027924,0.78689116,0.7393958,0.89176047,0.7521789,0.6860734,0.9288775,0.94042885,0.68055105
bcw,0.82117605,0.8459506,0.5472803,0.758951,0.72126544,0.76288146,0.7337642,0.8459006,0.80417967,0.75889945,0.78850853,0.58338,0.70764524,0.7669332,0.7525249,0.6478779,0.8841487,0.87806493,0.8092315,0.82705367
bdv,0.8233622,0.78021383,0.75623137,0.8136548,0.7823007,0.79006416,0.72731006,0.8140569,0.645619,0.84148526,0.8052727,0.8012585,0.76813114,0.81490827,0.79275835,0.8029216,0.725087,0.7790683,0.784234,0.7543803
bep,0.8576281,0.76875913,0.8915227,0.88119316,0.90465736,0.8508257,0.8751236,0.951062,0.85218835,0.9100253,0.9096221,0.89464945,0.9154888,0.6268598,0.80681,0.8934674,0.94670796,0.95674145,0.6774427,0.4205902
bew,0.69203657,0.69345415,0.6549282,0.7154252,0.6110976,0.6586534,0.5795202,0.7434101,0.57102734,0.63647926,0.6898108,0.71874666,0.70122117,0.5467207,0.6448112,0.65874004,0.77237177,0.50958353,0.71277076,0.65908563
bfc,0.82536703,0.7270808,0.84031904,0.79075575,0.8209081,0.7189631,0.82310826,0.70150554,0.78401,0.78841937,0.5920553,0.80916387,0.79706234,0.76460785,0.8395585,0.8433837,0.8513358,0.7605841,0.8173586,0.76593375
bft,0.8764192,0.9466078,0.92455375,0.9174464,0.900678,0.91156614,0.9395399,0.81621253,0.88975537,0.7584448,0.71032715,0.9603341,0.92405903,0.88070047,0.27786082,0.88582295,0.9106003,0.7946295,0.8930575,0.9809375
bfx,0.6907907,0.6865052,0.7232915,0.7102471,0.77888227,0.7071367,0.7749547,0.7654164,0.710093,0.78911424,0.7722032,0.76572245,0.77078986,0.73914236,0.7878632,0.7363374,0.75104105,0.78034693,0.6685503,0.7861615
bhw,0.5168062,0.49896988,0.45776892,0.40576068,0.43139985,0.5130459,0.6206134,0.5235894,0.55949897,0.5667166,0.544997,0.38270873,0.56931245,0.65033686,0.45383164,0.60816926,0.7458484,0.3771404,0.48428005,0.4689095
bim,0.8206855,0.8034268,0.8419958,0.81463796,0.766666,0.819376,0.64325625,0.8392173,0.6358829,0.8782546,0.79741555,0.8601098,0.8568946,0.7777084,0.8234806,0.8011836,0.7474628,0.79183596,0.8171226,0.8038617
bis,0.77084243,0.6954408,0.8649929,0.7784936,0.7550672,0.76032305,0.8213052,0.6995461,0.7139045,0.72029257,0.6693564,0.6879616,0.7616004,0.7737863,0.70028377,0.74251837,0.7026838,0.7557199,0.716067,0.7336873
biu,0.7060434,0.8715463,0.8879652,0.85397214,0.6802641,0.833997,0.8508573,0.8464017,0.89716065,0.8615649,0.6459097,0.8640762,0.87170935,0.8389776,0.8506585,0.8672438,0.87246346,0.81626713,0.8243224,0.84881383
bjq,0.53520834,0.81457675,0.9078616,0.85349256,0.8611104,0.88237244,0.71520835,0.7825511,0.7078922,0.8205174,0.8410245,0.89773,0.8591928,0.72501916,0.7677689,0.8813854,0.70501757,0.5950564,0.86510897,0.84123737
bjr,0.7080975,0.69845724,0.7786996,0.72336054,0.7118887,0.70212626,0.6877949,0.66971934,0.6628929,0.6224465,0.6669476,0.7332576,0.6742394,0.7030879,0.71622056,0.59857243,0.6976917,0.9179286,0.72818387,0.6888499
bkt,0.8986355,0.5525057,0.9141773,0.712093,0.8230853,0.59605235,0.7739302,0.4591696,0.790161,0.70059466,0.8463167,0.6962157,0.7833089,0.7507197,0.8612465,0.83643043,0.9326824,0.6070356,0.9021446,0.5493888
blg,0.722082,0.9247197,0.87533945,0.7985436,0.9066121,0.7650732,0.9329872,0.9528892,0.6866806,0.96104956,0.80266184,0.8825629,0.90904593,0.84182966,0.733798,0.88617235,0.7485116,0.5583764,0.79886407,0.5203255
blu,0.6773507,0.64557314,0.6056348,0.8048022,0.63165903,0.63174796,0.6179004,0.62529886,0.63602036,0.61172533,0.5999415,0.6641085,0.62478775,0.6261599,0.64074975,0.70833135,0.67848027,0.6840173,0.6205386,0.7433026
bmj,0.8025484,0.8041658,0.78161836,0.7117919,0.7692645,0.79721487,0.808129,0.73706764,0.76307887,0.7565832,0.7241223,0.7217079,0.73371375,0.8074776,0.771023,0.8069449,0.70491874,0.7449774,0.7715912,0.5785199
bmw,0.8788059,0.87061715,0.7107098,0.7880174,0.91822946,0.59378684,0.80541086,0.788457,0.8637166,0.91598666,0.8665444,0.8553007,0.9086375,0.7737818,0.8261013,0.5543214,0.78626096,0.5980123,0.8885007,0.8078053
bni,0.7485872,0.5661055,0.8619146,0.6853482,0.85261214,0.7376124,0.8833468,0.8514941,0.76360255,0.66627145,0.7491699,0.65667725,0.8914276,0.73831743,0.8355546,0.7901214,0.829938,0.61493695,0.86946356,0.7817012
bnm,0.7505603,0.89151204,0.776737,0.7647395,0.77324915,0.69584334,0.7814672,0.62437516,0.7283051,0.7353654,0.7516254,0.6974544,0.8209239,0.6318325,0.77018344,0.5243311,0.6984986,0.7396337,0.71488965,0.73089325
bos,0.7477195,0.76687306,0.7730492,0.73032403,0.7169572,0.7319844,0.7561615,0.66020715,0.7473986,0.7578157,0.7534707,0.7660218,0.7765015,0.65704954,0.74620235,0.7591359,0.82286924,0.7698404,0.7272178,0.7607559
bpg,0.87487537,0.85449886,0.33011034,0.8286489,0.79003745,0.8203102,0.804094,0.68242794,0.6746975,0.6769197,0.8384799,0.8836964,0.6380266,0.8146795,0.8442638,0.79966724,0.6492133,0.8707149,0.8668486,0.8819226
bph,0.8795743,0.83410054,0.81025165,0.7909111,0.8552711,0.7950865,0.50063497,0.7320977,0.8054259,0.84906673,0.71063167,0.88260674,0.89375466,0.77877116,0.68942726,0.7685419,0.8155949,0.8531661,0.85061216,0.8591514
bpv,0.7860196,0.70275116,0.7923459,0.79937965,0.83781636,0.826626,0.67612326,0.7557025,0.77850324,0.7269028,0.6858874,0.8139834,0.8498522,0.7975596,0.8831433,0.8535802,0.78763103,0.8259398,0.87192065,0.81943786
bqc,0.7044881,0.6165061,0.4893654,0.7462297,0.7119515,0.7880442,0.8161946,0.6686845,0.7410022,0.6596528,0.68105835,0.69441247,0.7134357,0.6177476,0.6212337,0.6391314,0.68102837,0.71852964,0.6211003,0.7222986
bqp,0.6969405,0.73987216,0.75211006,0.81525934,0.6961874,0.74025327,0.73792315,0.7075765,0.6772355,0.72880185,0.7053296,0.67484236,0.66966426,0.79263616,0.7695085,0.7583012,0.67258614,0.728842,0.7623819,0.7188241
bqq,0.7838176,0.6201672,0.6100389,0.51903856,0.70163774,0.61009234,0.64249545,0.6288704,0.66261125,0.7214927,0.6059662,0.7111126,0.67068535,0.67518663,0.54619324,0.83150756,0.665825,0.6784321,0.64742684,0.5888548
brj,0.81471395,0.73514974,0.78346825,0.762955,0.8597573,0.76034003,0.796873,0.6988833,0.6848701,0.8138541,0.6471146,0.8093516,0.81398153,0.7828239,0.68418187,0.74274385,0.81311977,0.70143515,0.65572125,0.67445314
brr,0.71566594,0.8064201,0.6375386,0.83939195,0.7084513,0.81170195,0.7825884,0.7971628,0.6320442,0.543477,0.8514943,0.8101668,0.76656085,0.833623,0.78219235,0.78377223,0.7205306,0.6551326,0.6686748,0.81965715
bug,0.79355025,0.85134387,0.68092054,0.77614105,0.82327783,0.84547836,0.88081187,0.82985115,0.82377243,0.863558,0.86695355,0.7806236,0.8109536,0.8544,0.84388345,0.7486227,0.8754863,0.79805166,0.8762765,0.813473
bul,0.8437172,0.84970963,0.8831548,0.8786387,0.8792067,0.8495269,0.77825236,0.81807446,0.88994175,0.86125565,0.4994797,0.82494974,0.878501,0.9019427,0.552794,0.6897626,0.8435567,0.7763572,0.8858752,0.7248727
buw,0.8886743,0.80650204,0.9068523,0.8166075,0.85628754,0.86878544,0.87318707,0.80920726,0.7625648,0.6432632,0.6533744,0.80188763,0.8600604,0.9025029,0.569936,0.8789462,0.81492716,0.76313853,0.8403291,0.8979069
buy,0.80210316,0.8348855,0.66224873,0.81225485,0.87004906,0.7891706,0.52606773,0.8697634,0.8762005,0.9262762,0.45643505,0.8710082,0.81335664,0.8648753,0.8799045,0.5395383,0.85604733,0.738828,0.8219521,0.5910935
bvh,0.4991216,0.7977757,0.7856419,0.6493937,0.81262815,0.82093024,0.72136176,0.800485,0.81410414,0.8037522,0.4634986,0.7453032,0.7713594,0.850889,0.71440476,0.7352131,0.81886804,0.7836449,0.75693196,0.78731656
bvi,0.7185085,0.54644036,0.8206533,0.75317246,0.8242413,0.80194604,0.83229035,0.83260214,0.84021246,0.8425795,0.57785743,0.8520837,0.8601891,0.8153428,0.95012593,0.84868705,0.61006325,0.7515569,0.59574056,0.8099968
bvs,0.73128444,0.78783756,0.7503818,0.5521916,0.77427435,0.78970826,0.79141223,0.54583645,0.7146458,0.5847009,0.67984056,0.81653714,0.67444503,0.79294395,0.76174873,0.71193033,0.75800455,0.74624,0.56759197,0.79999256
bvw,0.84457725,0.75211036,0.89187944,0.8658955,0.7910754,0.91677785,0.93003434,0.9068077,0.7705555,0.76610214,0.85051024,0.7016854,0.43598622,0.76225424,0.48625943,0.7909096,0.8795285,0.91297036,0.87839055,0.8805251
bwb,0.7334863,0.66907674,0.766976,0.65863395,0.76005745,0.80711406,0.7276573,0.7159631,0.7091657,0.7575102,0.7732497,0.6981895,0.7849965,0.7195001,0.79031116,0.8806672,0.8651029,0.7461711,0.8044748,0.7171788
